recommended_action,final_score,programmeName,normalized_domain,review_providers,photo_signal,measurement_signal,gap_tags,primarySector,subSectors,approvalRate,epc,awinIndex,feedEnabled,productReporting,primaryRegion,displayUrl,sample_product_urls,already_in_lead_or_sovrn,existing_data_dir_found,existing_scrape_doc_found,existing_claim_found,probe_status,notes,advertiserId,base_gap_score
request_to_join_p1_scrape_likely,247.4,Foray Golf,foraygolf.com,Okendo;Loox;Yotpo,yes,yes,bottoms_denim_active;general_womenswear,Sportswear,Clothing|Clothing Accessories|Sports Equipment|Sportswear|Womenswear,100.00,0.37,70.2258,no,no,US,https://www.foraygolf.com/,https://foraygolf.com/products/pleated-performance-skirt | https://foraygolf.com/products/printed-qtr-zip-rib-layering | https://foraygolf.com/products/seersucker-bomber-jacket | https://foraygolf.com/products/seersucker-flare-skirt | https://foraygolf.com/products/seersucker-sl-button-down-polo,no,no,no,no,http_200;products_json_6,,15909,145.0
request_to_join_p1_scrape_likely,246.7,Heyjoanie LLC,heyjoanie.com,Judge.me,yes,yes,bottoms_denim_active;petite_tall;general_womenswear,Clothing,Clothing,33.33,18.41,34.1739,no,yes,US,https://www.heyjoanie.com,https://www.heyjoanie.com/collections/new-in/products/hj007 | https://www.heyjoanie.com/collections/new-in/products/slope-curve-jeans-hj039 | https://www.heyjoanie.com/collections/new-in/products/arc-jean-hj055-1,no,no,no,no,home_ok,,101359,130.0
request_to_join_p1_scrape_likely,245.0,Boxraw US,boxraw.com,Reviews.io,yes,yes,bottoms_denim_active;general_womenswear,Sportswear,Menswear|Sports Equipment|Sportswear|Womenswear,0.00,0.00,0,yes,yes,US,https://boxraw.com/,https://boxraw.com/products/bivol-x-boxraw-controlled-aggression-oversized-hoodie-black | https://boxraw.com/products/bivol-x-boxraw-pendulum-oversized-hoodie-white | https://boxraw.com/products/bivol-sparring-club-oversized-t-shirt-washed-black,no,no,no,no,home_ok,,27830,145.0
skip_existing_or_refresh_only,244.6,SwimOutlet (US),swimoutlet.com,Okendo,yes,yes,swim_shapewear;general_womenswear,Clothing,Clothing|Clothing Accessories|Menswear|Womenswear,99.84,0.48,0,no,no,US,https://www.swimoutlet.com/,https://www.swimoutlet.com/products/sporti-hydrolast-chlorine-resistant-moderate-scoop-back-one-piece-swimsuit-20-8228903 | https://www.swimoutlet.com/products/sporti-hydrolast-chlorine-resistant-conservative-scoop-back-one-piece-swimsuit-20-8228902 | https://www.swimoutlet.com/products/sporti-hydrolast-spring-garden-chlorine-resistant-moderate-scoop-back-one-piece-swimsuit-20-8228906,yes,yes,no,no,home_ok,,63140,140.0
skip_existing_or_refresh_only,244.4,Superfit Hero,superfithero.com,Loox;Judge.me,yes,yes,bottoms_denim_active;plus_curve,Clothing,Clothing,92.19,0.05,51.4988,yes,yes,US,https://superfithero.com,https://superfithero.com/products/supercool-pocket-shorts-9-inch-black | https://superfithero.com/products/supercool-pocket-shorts-9-inch-cinnamon | https://superfithero.com/products/supercool-pocket-ankle-leggings-black,yes,yes,no,no,home_ok,,59275,125.0
request_to_join_p1_scrape_likely,243.0,Forecast Surf (US),forecastsurf.com,Reviews.io;Okendo;Loox;Yotpo,yes,yes,bottoms_denim_active;general_womenswear,Sports Equipment,Clothing|Clothing Accessories|Electronic Accessories|Green (Eco friendly)|Menswear|Sports Equipment|Sportswear|Womenswear,100.00,0.15,0,no,no,US,https://www.forecastsurf.com/,https://forecastsurf.com/products/litorale-crew-sweatshirt-copy-1 | https://forecastsurf.com/products/foreshadow-hoodie-silvery-logo | https://forecastsurf.com/products/onda-hoodie-copy | https://forecastsurf.com/products/phantom-set-ss-tee-copy | https://forecastsurf.com/products/forecast-womens-ss-tee-copy,no,no,no,no,http_200;products_json_6,,122918,145.0
request_to_join_p1_scrape_likely,242.2,Left on Friday,leftonfriday.com,Yotpo,yes,yes,swim_shapewear;general_womenswear,Womenswear,Clothing|Womenswear,100.00,0.36,63.8351,no,no,US,https://leftonfriday.com/,https://leftonfriday.com/products/rays-suit-shortie-first-place | https://leftonfriday.com/products/rays-suit-shortie-sweet-chili-heat | https://leftonfriday.com/products/rays-suit-shortie-jet,no,no,no,no,home_ok,,86407,140.0
request_to_join_p1_scrape_likely,240.5,Hey Honey,hey-honey.com,Judge.me;Okendo;Loox;Yotpo,yes,yes,bottoms_denim_active;general_womenswear,Sportswear,Sportswear|Womenswear,79.27,0.23,58.5231,no,no,DE,https://www.hey-honey.com/,https://hey-honey.com/products/bustier-holiday | https://hey-honey.com/products/gift-card | https://hey-honey.com/products/criss-cross-bra-lilac-breeze | https://hey-honey.com/products/biker-ribbed-juicy | https://hey-honey.com/products/longline-tank-ribbed-jiucy,no,no,no,no,http_200;products_json_6,,72301,145.0
request_to_join_p1_scrape_likely,240.4,437 (US),shop437.com,Loox,yes,yes,bottoms_denim_active;general_womenswear,Womenswear,Clothing|Clothing Accessories|Sportswear|Womenswear,100.00,0.02,45.13,no,no,US,https://shop437.com/,https://shop437.com/products/signature-437-bundle | https://shop437.com/products/the-v-legging-espresso | https://shop437.com/products/the-v-legging-black,no,no,no,no,home_ok,,29465,145.0
request_to_join_p1_scrape_likely,240.0,Who Shirt Company (US),whoshirtcompany.com,Okendo;Loox;Yotpo,yes,yes,full_bust_lingerie;general_womenswear,Clothing,Clothing|Womenswear,0.00,0.00,0,no,no,US,https://whoshirtcompany.com/,https://whoshirtcompany.com/products/maya | https://whoshirtcompany.com/products/free-bra-insert | https://whoshirtcompany.com/products/toni,no,no,no,no,http_200;products_json_3,,22686,165.0
