recommended_action,final_score,programmeName,normalized_domain,review_providers,photo_signal,measurement_signal,gap_tags,primarySector,subSectors,approvalRate,epc,awinIndex,feedEnabled,productReporting,primaryRegion,displayUrl,sample_product_urls,already_in_lead_or_sovrn,existing_data_dir_found,existing_scrape_doc_found,existing_claim_found,probe_status,notes,advertiserId,base_gap_score
do_not_prioritize_now,56.1,Milanoo.com,milanoo.com,unknown,no,no,,Clothing,Clothing,84.38,0.71,49.6745,yes,yes,US,https://www.milanoo.com,,no,no,no,no,not_probed,,89575,0.0
do_not_prioritize_now,56.0,Feltman Brothers,feltmanbrothers.com,unknown,no,no,,Clothing,Clothing,100.00,0.55,57.3361,yes,yes,US,https://feltmanbrothers.com,,no,no,no,no,not_probed,,52925,0.0
do_not_prioritize_now,56.0,Shokay,shokay.com,unknown,no,no,,Clothing,Clothing,100.00,0.55,54.7072,yes,yes,US,https://www.Shokay.com,,no,no,no,no,not_probed,,60281,0.0
do_not_prioritize_now,56.0,Peixoto,peixotowear.com,unknown,no,no,,Clothing,Clothing,100.00,0.55,53.0692,yes,yes,US,https://www.peixotowear.com,,no,no,no,no,not_probed,,83105,0.0
do_not_prioritize_now,56.0,Lejon Belts,lejonbelts.com,unknown,no,no,,Clothing,Clothing,100.00,0.55,58.8645,yes,yes,US,https://lejonbelts.com,,no,no,no,no,not_probed,,83103,0.0
do_not_prioritize_now,55.8,rihoas.com,rihoas.com,unknown,no,no,,Clothing,Clothing,100.00,0.54,55.8399,yes,yes,US,https://www.rihoas.com,,no,no,no,no,not_probed,,96155,0.0
do_not_prioritize_now,55.8,The Impeccable Pig,theimpeccablepig.com,unknown,no,no,,Clothing,Clothing,100.00,0.54,57.4684,yes,yes,US,https://www.theimpeccablepig.com,,no,no,no,no,not_probed,,92737,0.0
do_not_prioritize_now,55.8,Greatness Wins,greatnesswins.com,unknown,no,no,,Clothing,Clothing,100.00,0.54,55.2185,yes,yes,US,https://www.greatnesswins.com,,no,no,no,no,not_probed,,97955,0.0
do_not_prioritize_now,55.7,TERI JON,terijon.com,unknown,no,yes,general_womenswear,Clothing,Clothing,35.67,0.18,40.9599,yes,yes,US,https://www.terijon.com/,,no,no,no,no,not_probed,,88703,20.0
do_not_prioritize_now,55.7,Freeze Defense LLC,freezedefense.net,unknown,no,no,,Clothing,Clothing,28.57,2.67,39.1238,yes,yes,US,https://www.freezedefense.net,,no,no,no,no,not_probed,,64398,0.0
do_not_prioritize_now,55.2,illcurrency,illcurrency.com,unknown,no,no,,Clothing,Clothing,100.00,0.51,59.9531,yes,yes,US,https://illcurrency.com,,no,no,no,no,not_probed,,59487,0.0
do_not_prioritize_now,55.2,Mykos,mykos.com,unknown,no,no,,Clothing,Clothing,77.78,0.73,51.5478,yes,yes,US,https://mykos.com,,no,no,no,no,not_probed,,82667,0.0
do_not_prioritize_now,55.0,Haveli,myhaveli.com,unknown,no,yes,general_womenswear,Womenswear,Clothing|Green (Eco friendly)|Womenswear,0.00,0.00,0,no,no,GB,https://myhaveli.com/,,no,no,no,no,not_probed,,117933,55.0
do_not_prioritize_now,55.0,OpéraSPORT,operasport.net,unknown,no,yes,general_womenswear,Clothing,Clothing|Womenswear,0.00,0.00,0,no,no,US,https://operasport.net/,,no,no,no,no,not_probed,,125488,55.0
do_not_prioritize_now,55.0,Deme by Gabriella,demebygabriella.com,unknown,no,yes,general_womenswear,Womenswear,Clothing|Womenswear,0.00,0.00,,no,no,US,https://demebygabriella.com/,,no,no,no,no,not_probed,,126777,55.0
do_not_prioritize_now,55.0,HOSH (US),hoshart.com,unknown,no,yes,general_womenswear,Clothing,Clothing|Clothing Accessories|Menswear|Womenswear,0.00,0.00,0,no,no,US,https://hoshart.com/,,no,no,no,no,not_probed,,117767,55.0
do_not_prioritize_now,55.0,High Sport US,high-sport.com,unknown,no,yes,general_womenswear,Clothing,Clothing|Clothing Accessories|Womenswear,0.00,0.00,0,no,no,US,https://high-sport.com/,,no,no,no,no,not_probed,,120533,55.0
do_not_prioritize_now,55.0,Surele,shopsurele.com,unknown,no,yes,general_womenswear,Womenswear,Clothing|Womenswear,0.00,0.00,0,no,no,US,https://shopsurele.com/,,no,no,no,no,not_probed,,125450,55.0
do_not_prioritize_now,55.0,ESTHE,estheclothing.com,unknown,no,yes,general_womenswear,Clothing,Clothing|Womenswear,0.00,0.00,0,no,no,US,https://www.estheclothing.com/,,no,no,no,no,not_probed,,121136,55.0
do_not_prioritize_now,55.0,CILI NOCHI,cilinochi.com,unknown,no,yes,general_womenswear,Womenswear,Clothing|Womenswear,0.00,0.00,,no,no,US,https://cilinochi.com/,,no,no,no,no,not_probed,,126931,55.0
do_not_prioritize_now,55.0,Nonchalant Label US,nonchalantlabel.com,unknown,no,yes,general_womenswear,Clothing,Clothing|Womenswear,0.00,0.00,,no,no,US,https://nonchalantlabel.com/,,no,no,no,no,not_probed,,126629,55.0
do_not_prioritize_now,55.0,A Bathing Ape,us.bape.com,unknown,no,yes,general_womenswear,Clothing,Clothing|Clothing Accessories|Menswear|Shoes|Womenswear,0.00,0.00,0,no,no,US,https://us.bape.com/,,no,no,no,no,not_probed,,116635,55.0
do_not_prioritize_now,55.0,CORA,cora.com,unknown,no,yes,general_womenswear,Womenswear,Womenswear,0.00,0.00,0,no,no,US,https://cora.com,,no,no,no,no,not_probed,,124974,55.0
do_not_prioritize_now,55.0,Du & Berry,du-berry.com,unknown,no,yes,general_womenswear,Clothing,Clothing|Clothing Accessories|Womenswear,0.00,0.00,0,no,no,US,https://du-berry.com/,,no,no,no,no,not_probed,,125178,55.0
do_not_prioritize_now,55.0,Alma Caso (US),almacaso.com,unknown,no,yes,general_womenswear,Womenswear,Clothing Accessories|Shoes|Womenswear,0.00,0.00,0,no,no,US,https://almacaso.com/,,no,no,no,no,not_probed,,105317,55.0
do_not_prioritize_now,55.0,Wraps By Tina (US),wrapsbytina.com,unknown,no,yes,general_womenswear,Clothing,Clothing|Clothing Accessories|Womenswear,0.00,0.00,0,no,no,US,https://www.wrapsbytina.com/,,no,no,no,no,not_probed,,120015,55.0
do_not_prioritize_now,55.0,AGAATI,agaati.com,unknown,no,yes,general_womenswear,Womenswear,Clothing|Green (Eco friendly)|Womenswear,0.00,0.00,0,no,no,US,https://agaati.com/,,no,no,no,no,not_probed,,117625,55.0
do_not_prioritize_now,55.0,Wilt-Affiliates,wiltclothing.com,unknown,no,yes,general_womenswear,Clothing,Clothing|Clothing Accessories|Womenswear,0.00,0.00,0,no,no,US,https://wiltclothing.com/,,no,no,no,no,not_probed,,125054,55.0
do_not_prioritize_now,55.0,Auter (US),auter.co,unknown,no,yes,general_womenswear,Clothing,Clothing|Clothing Accessories|Menswear|Womenswear,0.00,0.00,0,no,no,US,https://auter.co/,,no,no,no,no,not_probed,,126173,55.0
do_not_prioritize_now,55.0,JLUXLABEL US,jluxlabel.com,unknown,no,yes,general_womenswear,Womenswear,Clothing|Clothing Accessories|Womenswear,0.00,0.00,0,no,no,US,https://jluxlabel.com/,,no,no,no,no,not_probed,,125446,55.0
